lon,lat,name,capital
37.617,55.752,Moskva,1
-0.128,51.507,London,1
32.854,39.920,Ankara,1
13.405,52.520,Berlin,1
-3.703,40.417,Madrid,1
30.523,50.450,Kyiv,1
12.496,41.903,Roma,1
2.347,48.859,Paris,1
27.567,53.902,Minsk,1
16.373,48.208,Wien,1
26.103,44.432,Bucuresti,1
21.012,52.229,Warszawa,1
19.040,47.498,Budapest,1
20.457,44.802,Beograd,1
30.315,59.939,Sankt-Peterburg,0
14.420,50.088,Praha,1
23.321,42.698,Sofia,1
2.154,41.390,Barcelona,0
18.068,59.333,Stockholm,1
4.904,52.367,Amsterdam,1
19.819,41.328,Tirana,1
15.978,45.815,Zagreb,1
10.752,59.913,Oslo,1
24.938,60.170,Helsinki,1
23.728,37.984,Athina,1
24.106,56.946,Riga,1
25.279,54.687,Vilnius,1
21.432,41.996,Skopje,1
-9.139,38.717,Lisboa,1
28.857,47.005,Chisinau,1
17.107,48.144,Bratislava,1
24.745,59.437,Tallinn,1
14.506,46.051,Ljubljana,1
18.413,43.848,Sarajevo,1
19.266,42.441,Podgorica,1
-21.827,64.128,Reykjavik,1
6.131,49.612,Luxembourg,1
7.447,46.948,Bern,1
